animal,Date,day,Clock time,Experiment file,"Total time
Lev1 Out",rewards
S8.4,4/4/2025,d05,13:00:59,stress_cohort.exp,1869.22,10
S8.4,4/5/2025,d06,14:19:42,stress_cohort.exp,908.44,3
S8.4,4/7/2025,d07,12:31:51,stress_cohort.exp,1893.32,17
S8.4,4/8/2025,d08,11:34:27,stress_cohort.exp,2120.15,18
S8.4,4/9/2025,d09,12:57:03,stress_cohort.exp,2042.04,31
S8.4,4/10/2025,d10,11:56:01,stress_cohort.exp,1491.83,42
S8.4,4/11/2025,d11,13:26:12,stress_cohort.exp,1546.46,40
S8.4,4/12/2025,d12,15:00:42,stress_cohort.exp,1851.16,33
S8.4,4/13/2025,d13,12:56:20,stress_cohort.exp,1465.30,41
S8.4,4/13/2025,d14,14:40:11,stress_cohort.exp,1246.25,30
S9.1,3/31/2025,d01,15:30:50,stress_cohort.exp,1817.03,3
S9.1,4/1/2025,d02,9:55:54,stress_cohort.exp,2289.32,2
S9.1,4/2/2025,d03,16:21:08,stress_cohort.exp,2336.79,1
S9.1,4/3/2025,d04,13:07:37,stress_cohort.exp,2397.98,1
S9.1,4/4/2025,d05,13:57:02,stress_cohort.exp,2360.75,1
S9.1,4/5/2025,d06,14:45:01,stress_cohort.exp,928.85,0
S9.1,4/7/2025,d07,13:30:28,stress_cohort.exp,2277.74,3
S9.1,4/8/2025,d08,12:53:56,stress_cohort.exp,2321.90,16
S9.1,4/9/2025,d09,15:00:01,stress_cohort.exp,1545.84,24
S9.1,4/10/2025,d10,13:18:37,stress_cohort.exp,1194.29,25
S9.1,4/11/2025,d11,13:26:12,stress_cohort.exp,1585.28,26
S9.1,4/12/2025,d12,15:00:42,stress_cohort.exp,2146.64,34
S9.1,4/13/2025,d13,14:40:11,stress_cohort.exp,1605.07,24
S9.1,4/14/2025,d14,13:45:02,stress_cohort.exp,2047.70,38
S9.2,3/31/2025,d01,15:30:50,stress_cohort.exp,2346.63,1
